Record Type,Change Time Stamp,Serial Change Number,NHS Number,Superseded by NHS number,Primary Care Provider ,Primary Care Provider Business Effective From Date,Current Posting,Current Posting Business Effective From Date,Previous Posting,Previous Posting Business Effective To Date,Name Prefix,Given Name ,Other Given Name(s) ,Family Name ,Previous Family Name ,Date of Birth,Gender,Address line 1,Address line 2,Address line 3,Address line 4,Address line 5,Postcode,PAF key,Usual Address Business Effective From Date,Reason for Removal,Reason for Removal Business Effective From Date,Date of Death,Death Status,Telephone Number (Home),Telephone Number (Home) Business Effective From Date,Telephone Number (Mobile),Telephone Number (Mobile) Business Effective From Date,E-mail address (Home),E-mail address (Home) Business Effective From Date,Preferred Language,Interpreter required,Invalid Flag,Record Identifier,Change Reason Code
New,,1,5558028009,null,B83006,20240410,Manchester,20240410,Edinburgh,20230410,Mrs,Tara,,Burns,,21/12/1971,2,HEXAGON HOUSE,PYNES HILL,RYDON LANE,EXETER,DEVON,BV3 9ZA,1234,,,,,,,,,,user@test.gov.uk,,English,0,0,1,
New,,2,5023115399,null,D81026,20240411,Liverpool,20240411,Birmingham,20230411,Ms,Reena,,Chauhan,,24/05/1970,2,3 CONIFER CLOSE,SCUNTHORPE,S HUMBERSIDE,null,null,DN17 2AH,4321,,,,,,,,,,,,English,0,0,2,
New,,3,5558015160,null,L83137,20240412,London,20240412,Swansea,20230412,Dr,Jane,,Jones,,01/12/1950,2,100,spen lane,Leeds,null,null,LS16 5BR,5555,,,,,,,,,,,,French,1,0,3,
New,,4,5558035153,null,B83006,20240413,Manchester,20240413,Edinburgh,20230413,Mrs,Jaypratap,,Suman,,04/04/1959,2,13 Grace Street,Leeds,West Yorkshire,null,null,LS1 2RP,,,,,,,,,,,,,English,0,0,4,
New,,5,5027042566,null,A20047,20240414,Liverpool,20240414,Birmingham,20230414,Ms,Moira,,Islam,,09/02/1966,2,1 ACORN WAY,BOTTESFORD,SCUNTHORPE,S HUMBERSIDE,null,DN16 3WA,,,,,,,,,,,,,English,0,0,5,
New,,6,5558060581,null,L83137,20240415,London,20240415,Swansea,20230415,Mrs,Rachel,,Williams,,01/01/1970,2,67,PYNES HILL,GROVE LANE,EXETER,DEVON,BD13 4AA,,,,,,,,,,,,,English,0,0,6,
New,,7,5558015373,null,C86007,20240416,Manchester,20240416,Edinburgh,20230416,Mrs,Maya,,Jenkins,,14/02/1971,2,Hexagon House,Pynes Hill,EXETER,null,null,EX2 5SE,,,,,,,,,,,,,English,0,0,7,
New,,8,5558037954,null,A20047,20240417,Liverpool,20240417,Birmingham,20230417,Mrs,Lucy,,Jenkins,,15/01/1951,2,Hexagon House,Pynes Hill,EXETER,null,null,EX2 5SE,,,,,,,,,,,,,English,0,0,8,
New,,9,5558043865,null,L83137,20240418,London,20240418,Swansea,20230418,Mrs,Shyam,,Ram,,07/05/1967,2,30 Grace Street,Leeds,West Yorkshire,null,null,LS1 2RP,,,,,,,,,,,,,English,0,0,9,
New,,10,5023067149,null,E84059,20240419,Manchester,20240419,Edinburgh,20230419,Ms,Nadine,,Roe,,05/01/1947,2,1 POWELLS CRESCENT,SCUNTHORPE,S HUMBERSIDE,null,null,DN16 3DN,,,,,,,,,,,,,English,0,0,10,
