Record Type,Change Time Stamp,Serial Change Number,NHS Number,Superseded by NHS number,Primary Care Provider,Primary Care Provider Business Effective From Date,Current Posting,Current Posting Business Effective From Date,Previous Posting,Previous Posting Business Effective To Date,Name Prefix,Given Name,Other Given Name(s),Family Name,Previous Family Name,Date of Birth,Gender,Address line 1,Address line 2,Address line 3,Address line 4,Address line 5,Postcode,PAF key,Usual Address Business Effective From Date,Reason for Removal,Reason for Removal Business Effective From Date,Date of Death,Death Status,Telephone Number (Home),Telephone Number (Home) Business Effective From Date,Telephone Number (Mobile),Telephone Number (Mobile) Business Effective From Date,E-mail address (Home),E-mail address (Home) Business Effective From Date,Preferred Language,Interpreter required,Invalid Flag,Record Identifier,Change Reason Code
Amended,20240524000000,1,1152966030,,NHS19C,20030318,VW0,20130319,GH2,20230411,Mrs,Herb,Bernard,Houlaghan,Turneux,19600111,1,257 Spaight Road,Eastbourne,,Chelmsford,United Kingdom,AB43 8FJ,Z3S4Q5X9,20031119,,,,,01619999999,20200818,07888888888,20240501,bturneux0@soup.io,20240501,en,0,false,1,CR1
New,20240524000000,2,9699552336,,NHSH23,20150506,RS6,20000823,PQ4,20230411,Mr,Sabrina,,Markie,,19681202,9,12 Fairfield Road,Otley,,Gloucester,United Kingdom,EX7 0NH,B1R7D8Y6,20041025,,,,,01617777777,20231130,07799999999,20240501,bmara1@tripadvisor.com,20240501,en,0,false,2,
New,20240524000000,3,1346653429,,NHS36B,20090724,QR4,20210122,EF5,20230411,Ms,Dionne,Angel,Corsan,,19560221,1,04493 Jenifer Road,Arundel,,Scunthorpe,United Kingdom,IP23 8UA,G2K6P3W9,20200410,,,,,01618888888,20221108,07799999999,20240501,ahaighton2@pinterest.com,20240501,en,0,false,3,
Amended,20240524000000,4,9197358169,,NHS20B,20160531,CD3,20090109,CD3,20230411,Mrs,Roobbie,,Rathmell,,19690106,0,090 Rowland Point,Margate,,Dundee,United Kingdom,YO23 1YA,L2M4N9J7,20200730,,,,,01618888888,20221016,07777777777,20240501,njanoschek3@utexas.edu,20240501,sl,1,false,4,CR1
New,20240524000000,5,6706050474,1907455906,NHSJ23,20240103,UV6,20210705,GH2,20230411,Mrs,Darsey,Reinhold,Aberdeen,Hugonnet,19460105,1,77003 Cottonwood Crossing,Ilkley,,Londonderry County Borough,United Kingdom,YO32 4ST,L2M4N9J7,20150210,,,,,01618888888,20230130,07799999999,20240501,rhugonnet4@imageshack.us,20240501,it,1,false,5,
New,20240524000000,6,5533711392,9499504680,NHS16B,20230424,WX7,20220704,TU8,20230411,Mr,Mortimer,Elane,California,,19541224,9,0 Leroy Way,Uppingham,,Sunderland,United Kingdom,GU31 5RN,A3B8Y6K9,20091004,,,,,01619999999,20210219,07799999999,20240501,eroocroft5@xing.com,20240501,en,0,false,6,
New,20240524000000,7,5935987570,,NHS19C,20120517,GH2,20151207,TU8,20230411,Ms,Jeri,Keir,Dracey,Affuso,19470902,2,1 Mayer Drive,Langholm,,Nuneaton,United Kingdom,TN31 6XW,K9H6G3F5,20080214,,,,,01617777777,20200902,07777777777,20240501,kaffuso6@dropbox.com,20240501,en,0,false,7,
Amended,20240524000000,8,6579236485,,NHS16A,20050202,PQ4,20020216,EF5,20230411,Mrs,Valentijn,Ofelia,Hurring,,19660228,9,1040 Banding Alley,Rushden,,Saint Albans,United Kingdom,E17 9ZQ,A3B8Y6K9,20080520,,,,,01619999999,20211225,07888888888,20240501,olys7@ustream.tv,20240501,ky,1,false,8,CR1
Amended,20240524000000,9,9176765776,,NHSH23,20121028,MN5,20020812,IJ9,20230411,Dr,Bidget,,Snoad,Hill,19661226,9,75 New Castle Park,Oswestry,,Manchester,United Kingdom,SS15 5FA,Y6B1R7D8,20060105,,,,,01619999999,20210920,07799999999,20240501,whill8@upenn.edu,20240501,ru,1,false,9,CR1
New,20240524000000,10,7840460607,4495845284,NHS16A,20060409,OP3,20200819,UV6,20230411,Mrs,Mace,Herb,Andri,,19660912,0,296 Shasta Plaza,Loughborough,,Luton,United Kingdom,EH48 2HR,J7L2M4N9,20190218,,,20070529,2,01617777777,20240326,07777777777,20240501,hwinscom9@ihg.com,20240501,th,1,false,10,
